Parish;Municipality;District;Region;Country
União das freguesias de Alenquer (Santo Estêvão e Triana);Alenquer;Lisboa;Continente;Portugal
União das freguesias de Carregado e Cadafais;Alenquer;Lisboa;Continente;Portugal
União das freguesias de Ribafria e Pereiro de Palhacana;Alenquer;Lisboa;Continente;Portugal
Arranhó;Arruda dos Vinhos;Lisboa;Continente;Portugal
Arruda dos Vinhos;Arruda dos Vinhos;Lisboa;Continente;Portugal
Cardosas;Arruda dos Vinhos;Lisboa;Continente;Portugal
São Tiago dos Velhos;Arruda dos Vinhos;Lisboa;Continente;Portugal
Alcoentre;Azambuja;Lisboa;Continente;Portugal
Aveiras de Baixo;Azambuja;Lisboa;Continente;Portugal
Aveiras de Cima;Azambuja;Lisboa;Continente;Portugal
Azambuja;Azambuja;Lisboa;Continente;Portugal
Vale do Paraíso;Azambuja;Lisboa;Continente;Portugal
Vila Nova da Rainha;Azambuja;Lisboa;Continente;Portugal
União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa;Azambuja;Lisboa;Continente;Portugal
Alguber;Cadaval;Lisboa;Continente;Portugal
Peral;Cadaval;Lisboa;Continente;Portugal
Vermelha;Cadaval;Lisboa;Continente;Portugal
Vilar;Cadaval;Lisboa;Continente;Portugal
União das freguesias do Cadaval e Pêro Moniz;Cadaval;Lisboa;Continente;Portugal
União das freguesias de Lamas e Cercal;Cadaval;Lisboa;Continente;Portugal
União das freguesias de Painho e Figueiros;Cadaval;Lisboa;Continente;Portugal
Alcabideche;Cascais;Lisboa;Continente;Portugal
São Domingos de Rana;Cascais;Lisboa;Continente;Portugal
União das freguesias de Carcavelos e Parede;Cascais;Lisboa;Continente;Portugal
União das freguesias de Cascais e Estoril;Cascais;Lisboa;Continente;Portugal
Ajuda;Lisboa;Lisboa;Continente;Portugal
Alcântara;Lisboa;Lisboa;Continente;Portugal
Beato;Lisboa;Lisboa;Continente;Portugal
Benfica;Lisboa;Lisboa;Continente;Portugal
Campolide;Lisboa;Lisboa;Continente;Portugal
Carnide;Lisboa;Lisboa;Continente;Portugal
Lumiar;Lisboa;Lisboa;Continente;Portugal
Marvila;Lisboa;Lisboa;Continente;Portugal
Olivais;Lisboa;Lisboa;Continente;Portugal
São Domingos de Benfica;Lisboa;Lisboa;Continente;Portugal
Alvalade;Lisboa;Lisboa;Continente;Portugal
Areeiro;Lisboa;Lisboa;Continente;Portugal
Arroios;Lisboa;Lisboa;Continente;Portugal
Avenidas Novas;Lisboa;Lisboa;Continente;Portugal
Belém;Lisboa;Lisboa;Continente;Portugal
Campo de Ourique;Lisboa;Lisboa;Continente;Portugal
Estrela;Lisboa;Lisboa;Continente;Portugal
Misericórdia;Lisboa;Lisboa;Continente;Portugal
Parque das Nações;Lisboa;Lisboa;Continente;Portugal
Penha de França;Lisboa;Lisboa;Continente;Portugal
Santa Clara;Lisboa;Lisboa;Continente;Portugal
Santa Maria Maior;Lisboa;Lisboa;Continente;Portugal
Santo António;Lisboa;Lisboa;Continente;Portugal
São Vicente;Lisboa;Lisboa;Continente;Portugal
Bucelas;Loures;Lisboa;Continente;Portugal
Fanhões;Loures;Lisboa;Continente;Portugal
Loures;Loures;Lisboa;Continente;Portugal
Lousa;Loures;Lisboa;Continente;Portugal
União das freguesias de Moscavide e Portela;Loures;Lisboa;Continente;Portugal
União das freguesias de Sacavém e Prior Velho;Loures;Lisboa;Continente;Portugal
União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela;Loures;Lisboa;Continente;Portugal
União das freguesias de Santo Antão e São Julião do Tojal;Loures;Lisboa;Continente;Portugal
União das freguesias de Santo António dos Cavaleiros e Frielas;Loures;Lisboa;Continente;Portugal
União das freguesias de Camarate, Unhos e Apelação;Loures;Lisboa;Continente;Portugal
Moita dos Ferreiros;Lourinhã;Lisboa;Continente;Portugal
Reguengo Grande;Lourinhã;Lisboa;Continente;Portugal
Santa Bárbara;Lourinhã;Lisboa;Continente;Portugal
Vimeiro;Lourinhã;Lisboa;Continente;Portugal
Ribamar;Lourinhã;Lisboa;Continente;Portugal
União das freguesias de Lourinhã e Atalaia;Lourinhã;Lisboa;Continente;Portugal
União das freguesias de Miragaia e Marteleira;Lourinhã;Lisboa;Continente;Portugal
União das freguesias de São Bartolomeu dos Galegos e Moledo;Lourinhã;Lisboa;Continente;Portugal
Carvoeira;Mafra;Lisboa;Continente;Portugal
Encarnação;Mafra;Lisboa;Continente;Portugal
Ericeira;Mafra;Lisboa;Continente;Portugal
Mafra;Mafra;Lisboa;Continente;Portugal
Milharado;Mafra;Lisboa;Continente;Portugal
Santo Isidoro;Mafra;Lisboa;Continente;Portugal
União das freguesias de Azueira e Sobral da Abelheira;Mafra;Lisboa;Continente;Portugal
União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário;Mafra;Lisboa;Continente;Portugal
União das freguesias de Igreja Nova e Cheleiros;Mafra;Lisboa;Continente;Portugal
União das freguesias de Malveira e São Miguel de Alcainça;Mafra;Lisboa;Continente;Portugal
União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;Mafra;Lisboa;Continente;Portugal
Barcarena;Oeiras;Lisboa;Continente;Portugal
Porto Salvo;Oeiras;Lisboa;Continente;Portugal
União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;Oeiras;Lisboa;Continente;Portugal
União das freguesias de Carnaxide e Queijas;Oeiras;Lisboa;Continente;Portugal
União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias;Oeiras;Lisboa;Continente;Portugal
Algueirão-Mem Martins;Sintra;Lisboa;Continente;Portugal
Colares;Sintra;Lisboa;Continente;Portugal
Rio de Mouro;Sintra;Lisboa;Continente;Portugal
Casal de Cambra;Sintra;Lisboa;Continente;Portugal
União das freguesias de Agualva e Mira-Sintra;Sintra;Lisboa;Continente;Portugal
União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;Sintra;Lisboa;Continente;Portugal
União das freguesias do Cacém e São Marcos;Sintra;Lisboa;Continente;Portugal
União das freguesias de Massamá e Monte Abraão;Sintra;Lisboa;Continente;Portugal
União das freguesias de Queluz e Belas;Sintra;Lisboa;Continente;Portugal
União das freguesias de São João das Lampas e Terrugem;Sintra;Lisboa;Continente;Portugal
União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);Sintra;Lisboa;Continente;Portugal
Santo Quintino;Sobral de Monte Agraço;Lisboa;Continente;Portugal
Sapataria;Sobral de Monte Agraço;Lisboa;Continente;Portugal
Sobral de Monte Agraço;Sobral de Monte Agraço;Lisboa;Continente;Portugal
Freiria;Torres Vedras;Lisboa;Continente;Portugal
Ponte do Rol;Torres Vedras;Lisboa;Continente;Portugal
Ramalhal;Torres Vedras;Lisboa;Continente;Portugal
São Pedro da Cadeira;Torres Vedras;Lisboa;Continente;Portugal
Silveira;Torres Vedras;Lisboa;Continente;Portugal
Turcifal;Torres Vedras;Lisboa;Continente;Portugal
Ventosa;Torres Vedras;Lisboa;Continente;Portugal
União das freguesias de A dos Cunhados e Maceira;Torres Vedras;Lisboa;Continente;Portugal
União das freguesias de Campelos e Outeiro da Cabeça;Torres Vedras;Lisboa;Continente;Portugal
União das freguesias de Carvoeira e Carmões;Torres Vedras;Lisboa;Continente;Portugal
União das freguesias de Dois Portos e Runa;Torres Vedras;Lisboa;Continente;Portugal
União das freguesias de Maxial e Monte Redondo;Torres Vedras;Lisboa;Continente;Portugal
Santa Maria, São Pedro e Matacães;Torres Vedras;Lisboa;Continente;Portugal
Vialonga;Vila Franca de Xira;Lisboa;Continente;Portugal
Vila Franca de Xira;Vila Franca de Xira;Lisboa;Continente;Portugal
União das freguesias de Alhandra, São João dos Montes e Calhandriz;Vila Franca de Xira;Lisboa;Continente;Portugal
União das freguesias de Alverca do Ribatejo e Sobralinho;Vila Franca de Xira;Lisboa;Continente;Portugal
União das freguesias de Castanheira do Ribatejo e Cachoeiras;Vila Franca de Xira;Lisboa;Continente;Portugal
União das freguesias de Póvoa de Santa Iria e Forte da Casa;Vila Franca de Xira;Lisboa;Continente;Portugal
Alfragide;Amadora;Lisboa;Continente;Portugal
Águas Livres;Amadora;Lisboa;Continente;Portugal
Encosta do Sol;Amadora;Lisboa;Continente;Portugal
Falagueira-Venda Nova;Amadora;Lisboa;Continente;Portugal
Mina de Água;Amadora;Lisboa;Continente;Portugal
Venteira;Amadora;Lisboa;Continente;Portugal
Odivelas;Odivelas;Lisboa;Continente;Portugal
União das freguesias de Pontinha e Famões;Odivelas;Lisboa;Continente;Portugal
União das freguesias de Póvoa de Santo Adrião e Olival Basto;Odivelas;Lisboa;Continente;Portugal
União das freguesias de Ramada e Caneças;Odivelas;Lisboa;Continente;Portugal
Alter do Chão;Alter do Chão;Portalegre;Continente;Portugal
Chancelaria;Alter do Chão;Portalegre;Continente;Portugal
Seda;Alter do Chão;Portalegre;Continente;Portugal
Cunheira;Alter do Chão;Portalegre;Continente;Portugal
Assunção;Arronches;Portalegre;Continente;Portugal
Esperança;Arronches;Portalegre;Continente;Portugal
Mosteiros;Arronches;Portalegre;Continente;Portugal
Aldeia Velha;Avis;Portalegre;Continente;Portugal
Avis;Avis;Portalegre;Continente;Portugal
Ervedal;Avis;Portalegre;Continente;Portugal
Figueira e Barros;Avis;Portalegre;Continente;Portugal
União das freguesias de Alcórrego e Maranhão;Avis;Portalegre;Continente;Portugal
União das freguesias de Benavila e Valongo;Avis;Portalegre;Continente;Portugal
Nossa Senhora da Expectação;Campo Maior;Portalegre;Continente;Portugal
Nossa Senhora da Graça dos Degolados;Campo Maior;Portalegre;Continente;Portugal
São João Baptista;Campo Maior;Portalegre;Continente;Portugal
Nossa Senhora da Graça de Póvoa e Meadas;Castelo de Vide;Portalegre;Continente;Portugal
Santa Maria da Devesa;Castelo de Vide;Portalegre;Continente;Portugal
Santiago Maior;Castelo de Vide;Portalegre;Continente;Portugal
São João Baptista;Castelo de Vide;Portalegre;Continente;Portugal
Aldeia da Mata;Crato;Portalegre;Continente;Portugal
Gáfete;Crato;Portalegre;Continente;Portugal
Monte da Pedra;Crato;Portalegre;Continente;Portugal
União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso;Crato;Portalegre;Continente;Portugal
Santa Eulália;Elvas;Portalegre;Continente;Portugal
São Brás e São Lourenço;Elvas;Portalegre;Continente;Portugal
São Vicente e Ventosa;Elvas;Portalegre;Continente;Portugal
Assunção, Ajuda, Salvador e Santo Ildefonso;Elvas;Portalegre;Continente;Portugal
Caia, São Pedro e Alcáçova;Elvas;Portalegre;Continente;Portugal
União das freguesias de Barbacena e Vila Fernando;Elvas;Portalegre;Continente;Portugal
União das freguesias de Terrugem e Vila Boim;Elvas;Portalegre;Continente;Portugal
Cabeço de Vide;Fronteira;Portalegre;Continente;Portugal
Fronteira;Fronteira;Portalegre;Continente;Portugal
São Saturnino;Fronteira;Portalegre;Continente;Portugal
Belver;Gavião;Portalegre;Continente;Portugal
Comenda;Gavião;Portalegre;Continente;Portugal
Margem;Gavião;Portalegre;Continente;Portugal
União das freguesias de Gavião e Atalaia;Gavião;Portalegre;Continente;Portugal
Beirã;Marvão;Portalegre;Continente;Portugal
Santa Maria de Marvão;Marvão;Portalegre;Continente;Portugal
Santo António das Areias;Marvão;Portalegre;Continente;Portugal
São Salvador da Aramenha;Marvão;Portalegre;Continente;Portugal
Assumar;Monforte;Portalegre;Continente;Portugal
Monforte;Monforte;Portalegre;Continente;Portugal
Santo Aleixo;Monforte;Portalegre;Continente;Portugal
Vaiamonte;Monforte;Portalegre;Continente;Portugal
Alpalhão;Nisa;Portalegre;Continente;Portugal
Montalvão;Nisa;Portalegre;Continente;Portugal
Santana;Nisa;Portalegre;Continente;Portugal
São Matias;Nisa;Portalegre;Continente;Portugal
Tolosa;Nisa;Portalegre;Continente;Portugal
União das freguesias de Arez e Amieira do Tejo;Nisa;Portalegre;Continente;Portugal
União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão;Nisa;Portalegre;Continente;Portugal
Galveias;Ponte de Sor;Portalegre;Continente;Portugal
Montargil;Ponte de Sor;Portalegre;Continente;Portugal
Foros de Arrão;Ponte de Sor;Portalegre;Continente;Portugal
Longomel;Ponte de Sor;Portalegre;Continente;Portugal
União das freguesias de Ponte de Sor, Tramaga e Vale de Açor;Ponte de Sor;Portalegre;Continente;Portugal
Alagoa;Portalegre;Portalegre;Continente;Portugal
Alegrete;Portalegre;Portalegre;Continente;Portugal
Fortios;Portalegre;Portalegre;Continente;Portugal
Urra;Portalegre;Portalegre;Continente;Portugal
União das freguesias da Sé e São Lourenço;Portalegre;Portalegre;Continente;Portugal
União das freguesias de Reguengo e São Julião;Portalegre;Portalegre;Continente;Portugal
União das freguesias de Ribeira de Nisa e Carreiras;Portalegre;Portalegre;Continente;Portugal
Cano;Sousel;Portalegre;Continente;Portugal
Casa Branca;Sousel;Portalegre;Continente;Portugal
Santo Amaro;Sousel;Portalegre;Continente;Portugal
Sousel;Sousel;Portalegre;Continente;Portugal
Ansiães;Amarante;Porto;Continente;Portugal
Candemil;Amarante;Porto;Continente;Portugal
Fregim;Amarante;Porto;Continente;Portugal
Fridão;Amarante;Porto;Continente;Portugal
Gondar;Amarante;Porto;Continente;Portugal
Jazente;Amarante;Porto;Continente;Portugal
Lomba;Amarante;Porto;Continente;Portugal
Louredo;Amarante;Porto;Continente;Portugal
Lufrei;Amarante;Porto;Continente;Portugal
Mancelos;Amarante;Porto;Continente;Portugal
Padronelo;Amarante;Porto;Continente;Portugal
Rebordelo;Amarante;Porto;Continente;Portugal
Salvador do Monte;Amarante;Porto;Continente;Portugal
Gouveia (São Simão);Amarante;Porto;Continente;Portugal
Telões;Amarante;Porto;Continente;Portugal
Travanca;Amarante;Porto;Continente;Portugal
Vila Caiz;Amarante;Porto;Continente;Portugal
Vila Chã do Marão;Amarante;Porto;Continente;Portugal
União das freguesias de Aboadela, Sanche e Várzea;Amarante;Porto;Continente;Portugal
União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;Amarante;Porto;Continente;Portugal
União das freguesias de Bustelo, Carneiro e Carvalho de Rei;Amarante;Porto;Continente;Portugal
União das freguesias de Figueiró (Santiago e Santa Cristina);Amarante;Porto;Continente;Portugal
União das freguesias de Freixo de Cima e de Baixo;Amarante;Porto;Continente;Portugal
União das freguesias de Olo e Canadelo;Amarante;Porto;Continente;Portugal
Vila Meã;Amarante;Porto;Continente;Portugal
União das freguesias de Vila Garcia, Aboim e Chapa;Amarante;Porto;Continente;Portugal
Frende;Baião;Porto;Continente;Portugal
Gestaçô;Baião;Porto;Continente;Portugal
Gove;Baião;Porto;Continente;Portugal
Grilo;Baião;Porto;Continente;Portugal
Loivos do Monte;Baião;Porto;Continente;Portugal
Santa Marinha do Zêzere;Baião;Porto;Continente;Portugal
Valadares;Baião;Porto;Continente;Portugal
Viariz;Baião;Porto;Continente;Portugal
União das freguesias de Ancede e Ribadouro;Baião;Porto;Continente;Portugal
União das freguesias de Baião (Santa Leocádia) e Mesquinhata;Baião;Porto;Continente;Portugal
União das freguesias de Campelo e Ovil;Baião;Porto;Continente;Portugal
União das freguesias de Loivos da Ribeira e Tresouras;Baião;Porto;Continente;Portugal
União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;Baião;Porto;Continente;Portugal
União das freguesias de Teixeira e Teixeiró;Baião;Porto;Continente;Portugal
Aião;Felgueiras;Porto;Continente;Portugal
Airães;Felgueiras;Porto;Continente;Portugal
Friande;Felgueiras;Porto;Continente;Portugal
Idães;Felgueiras;Porto;Continente;Portugal
Jugueiros;Felgueiras;Porto;Continente;Portugal
Penacova;Felgueiras;Porto;Continente;Portugal
Pinheiro;Felgueiras;Porto;Continente;Portugal
Pombeiro de Ribavizela;Felgueiras;Porto;Continente;Portugal
Refontoura;Felgueiras;Porto;Continente;Portugal
Regilde;Felgueiras;Porto;Continente;Portugal
Revinhade;Felgueiras;Porto;Continente;Portugal
Sendim;Felgueiras;Porto;Continente;Portugal
União das freguesias de Macieira da Lixa e Caramos;Felgueiras;Porto;Continente;Portugal
União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;Felgueiras;Porto;Continente;Portugal
União das freguesias de Pedreira, Rande e Sernande;Felgueiras;Porto;Continente;Portugal
União das freguesias de Torrados e Sousa;Felgueiras;Porto;Continente;Portugal
União das freguesias de Unhão e Lordelo;Felgueiras;Porto;Continente;Portugal
União das freguesias de Vila Cova da Lixa e Borba de Godim;Felgueiras;Porto;Continente;Portugal
União das freguesias de Vila Fria e Vizela (São Jorge);Felgueiras;Porto;Continente;Portugal
União das freguesias de Vila Verde e Santão;Felgueiras;Porto;Continente;Portugal
Lomba;Gondomar;Porto;Continente;Portugal
Rio Tinto;Gondomar;Porto;Continente;Portugal
Baguim do Monte (Rio Tinto);Gondomar;Porto;Continente;Portugal
União das freguesias de Fânzeres e São Pedro da Cova;Gondomar;Porto;Continente;Portugal
União das freguesias de Foz do Sousa e Covelo;Gondomar;Porto;Continente;Portugal
União das freguesias de Gondomar (São Cosme), Valbom e Jovim;Gondomar;Porto;Continente;Portugal
União das freguesias de Melres e Medas;Gondomar;Porto;Continente;Portugal
Aveleda;Lousada;Porto;Continente;Portugal
Caíde de Rei;Lousada;Porto;Continente;Portugal
Lodares;Lousada;Porto;Continente;Portugal
Macieira;Lousada;Porto;Continente;Portugal
Meinedo;Lousada;Porto;Continente;Portugal
Nevogilde;Lousada;Porto;Continente;Portugal
Sousela;Lousada;Porto;Continente;Portugal
Torno;Lousada;Porto;Continente;Portugal
Vilar do Torno e Alentém;Lousada;Porto;Continente;Portugal
União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);Lousada;Porto;Continente;Portugal
União das freguesias de Cristelos, Boim e Ordem;Lousada;Porto;Continente;Portugal
União das freguesias de Figueiras e Covas;Lousada;Porto;Continente;Portugal
União das freguesias de Lustosa e Barrosas (Santo Estêvão);Lousada;Porto;Continente;Portugal
União das freguesias de Nespereira e Casais;Lousada;Porto;Continente;Portugal
União das freguesias de Silvares, Pias, Nogueira e Alvarenga;Lousada;Porto;Continente;Portugal
Águas Santas;Maia;Porto;Continente;Portugal
Folgosa;Maia;Porto;Continente;Portugal
Milheirós;Maia;Porto;Continente;Portugal
Moreira;Maia;Porto;Continente;Portugal
São Pedro Fins;Maia;Porto;Continente;Portugal
Vila Nova da Telha;Maia;Porto;Continente;Portugal
Pedrouços;Maia;Porto;Continente;Portugal
Castêlo da Maia;Maia;Porto;Continente;Portugal
Cidade da Maia;Maia;Porto;Continente;Portugal
Nogueira e Silva Escura;Maia;Porto;Continente;Portugal
Banho e Carvalhosa;Marco de Canaveses;Porto;Continente;Portugal
Constance;Marco de Canaveses;Porto;Continente;Portugal
Soalhães;Marco de Canaveses;Porto;Continente;Portugal
Sobretâmega;Marco de Canaveses;Porto;Continente;Portugal
Tabuado;Marco de Canaveses;Porto;Continente;Portugal
Vila Boa do Bispo;Marco de Canaveses;Porto;Continente;Portugal
Alpendorada, Várzea e Torrão;Marco de Canaveses;Porto;Continente;Portugal
Avessadas e Rosém;Marco de Canaveses;Porto;Continente;Portugal
Bem Viver;Marco de Canaveses;Porto;Continente;Portugal
Santo Isidoro e Livração;Marco de Canaveses;Porto;Continente;Portugal
Marco;Marco de Canaveses;Porto;Continente;Portugal
Paredes de Viadores e Manhuncelos;Marco de Canaveses;Porto;Continente;Portugal
Penha Longa e Paços de Gaiolo;Marco de Canaveses;Porto;Continente;Portugal
Sande e São Lourenço do Douro;Marco de Canaveses;Porto;Continente;Portugal
Várzea, Aliviada e Folhada;Marco de Canaveses;Porto;Continente;Portugal
Vila Boa de Quires e Maureles;Marco de Canaveses;Porto;Continente;Portugal
União das freguesias de Custóias, Leça do Balio e Guifões;Matosinhos;Porto;Continente;Portugal
União das freguesias de Matosinhos e Leça da Palmeira;Matosinhos;Porto;Continente;Portugal
União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;Matosinhos;Porto;Continente;Portugal
União das freguesias de São Mamede de Infesta e Senhora da Hora;Matosinhos;Porto;Continente;Portugal
Carvalhosa;Paços de Ferreira;Porto;Continente;Portugal
Eiriz;Paços de Ferreira;Porto;Continente;Portugal
Ferreira;Paços de Ferreira;Porto;Continente;Portugal
Figueiró;Paços de Ferreira;Porto;Continente;Portugal
Freamunde;Paços de Ferreira;Porto;Continente;Portugal
Meixomil;Paços de Ferreira;Porto;Continente;Portugal
Penamaior;Paços de Ferreira;Porto;Continente;Portugal
Raimonda;Paços de Ferreira;Porto;Continente;Portugal
Seroa;Paços de Ferreira;Porto;Continente;Portugal
Frazão Arreigada;Paços de Ferreira;Porto;Continente;Portugal
Paços de Ferreira;Paços de Ferreira;Porto;Continente;Portugal
Sanfins Lamoso Codessos;Paços de Ferreira;Porto;Continente;Portugal
Aguiar de Sousa;Paredes;Porto;Continente;Portugal
Astromil;Paredes;Porto;Continente;Portugal
Baltar;Paredes;Porto;Continente;Portugal
Beire;Paredes;Porto;Continente;Portugal
Cete;Paredes;Porto;Continente;Portugal
Cristelo;Paredes;Porto;Continente;Portugal
Duas Igrejas;Paredes;Porto;Continente;Portugal
Gandra;Paredes;Porto;Continente;Portugal
Lordelo;Paredes;Porto;Continente;Portugal
Louredo;Paredes;Porto;Continente;Portugal
Parada de Todeia;Paredes;Porto;Continente;Portugal
Rebordosa;Paredes;Porto;Continente;Portugal
Recarei;Paredes;Porto;Continente;Portugal
Sobreira;Paredes;Porto;Continente;Portugal
Sobrosa;Paredes;Porto;Continente;Portugal
Vandoma;Paredes;Porto;Continente;Portugal
Vilela;Paredes;Porto;Continente;Portugal
Paredes;Paredes;Porto;Continente;Portugal
Abragão;Penafiel;Porto;Continente;Portugal
Boelhe;Penafiel;Porto;Continente;Portugal
Bustelo;Penafiel;Porto;Continente;Portugal
Cabeça Santa;Penafiel;Porto;Continente;Portugal
Canelas;Penafiel;Porto;Continente;Portugal
Capela;Penafiel;Porto;Continente;Portugal
Castelões;Penafiel;Porto;Continente;Portugal
Croca;Penafiel;Porto;Continente;Portugal
Duas Igrejas;Penafiel;Porto;Continente;Portugal
Eja;Penafiel;Porto;Continente;Portugal
Fonte Arcada;Penafiel;Porto;Continente;Portugal
Galegos;Penafiel;Porto;Continente;Portugal
Irivo;Penafiel;Porto;Continente;Portugal
Oldrões;Penafiel;Porto;Continente;Portugal
Paço de Sousa;Penafiel;Porto;Continente;Portugal
Perozelo;Penafiel;Porto;Continente;Portugal
Rans;Penafiel;Porto;Continente;Portugal
Rio de Moinhos;Penafiel;Porto;Continente;Portugal
Recezinhos (São Mamede);Penafiel;Porto;Continente;Portugal
Recezinhos (São Martinho);Penafiel;Porto;Continente;Portugal
Sebolido;Penafiel;Porto;Continente;Portugal
Valpedre;Penafiel;Porto;Continente;Portugal
Rio Mau;Penafiel;Porto;Continente;Portugal
Penafiel;Penafiel;Porto;Continente;Portugal
Luzim e Vila Cova;Penafiel;Porto;Continente;Portugal
Guilhufe e Urrô;Penafiel;Porto;Continente;Portugal
Lagares e Figueira;Penafiel;Porto;Continente;Portugal
Termas de São Vicente;Penafiel;Porto;Continente;Portugal
Bonfim;Porto;Porto;Continente;Portugal
Campanhã;Porto;Porto;Continente;Portugal
Paranhos;Porto;Porto;Continente;Portugal
Ramalde;Porto;Porto;Continente;Portugal
União das freguesias de Aldoar, Foz do Douro e Nevogilde;Porto;Porto;Continente;Portugal
União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;Porto;Porto;Continente;Portugal
União das freguesias de Lordelo do Ouro e Massarelos;Porto;Porto;Continente;Portugal
Balazar;Póvoa de Varzim;Porto;Continente;Portugal
Estela;Póvoa de Varzim;Porto;Continente;Portugal
Laundos;Póvoa de Varzim;Porto;Continente;Portugal
Rates;Póvoa de Varzim;Porto;Continente;Portugal
União das freguesias de Aver-o-Mar, Amorim e Terroso;Póvoa de Varzim;Porto;Continente;Portugal
União das freguesias de Aguçadoura e Navais;Póvoa de Varzim;Porto;Continente;Portugal
União das freguesias da Póvoa de Varzim, Beiriz e Argivai;Póvoa de Varzim;Porto;Continente;Portugal
Agrela;Santo Tirso;Porto;Continente;Portugal
Água Longa;Santo Tirso;Porto;Continente;Portugal
Aves;Santo Tirso;Porto;Continente;Portugal
Monte Córdova;Santo Tirso;Porto;Continente;Portugal
Rebordões;Santo Tirso;Porto;Continente;Portugal
Reguenga;Santo Tirso;Porto;Continente;Portugal
Roriz;Santo Tirso;Porto;Continente;Portugal
Negrelos (São Tomé);Santo Tirso;Porto;Continente;Portugal
Vilarinho;Santo Tirso;Porto;Continente;Portugal
União das freguesias de Areias, Sequeiró, Lama e Palmeira;Santo Tirso;Porto;Continente;Portugal
Vila Nova do Campo;Santo Tirso;Porto;Continente;Portugal
União das freguesias de Carreira e Refojos de Riba de Ave;Santo Tirso;Porto;Continente;Portugal
União das freguesias de Lamelas e Guimarei;Santo Tirso;Porto;Continente;Portugal
União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;Santo Tirso;Porto;Continente;Portugal
Alfena;Valongo;Porto;Continente;Portugal
Ermesinde;Valongo;Porto;Continente;Portugal
Valongo;Valongo;Porto;Continente;Portugal
União das freguesias de Campo e Sobrado;Valongo;Porto;Continente;Portugal
Árvore;Vila do Conde;Porto;Continente;Portugal
Aveleda;Vila do Conde;Porto;Continente;Portugal
Azurara;Vila do Conde;Porto;Continente;Portugal
Fajozes;Vila do Conde;Porto;Continente;Portugal
Gião;Vila do Conde;Porto;Continente;Portugal
Guilhabreu;Vila do Conde;Porto;Continente;Portugal
Junqueira;Vila do Conde;Porto;Continente;Portugal
Labruge;Vila do Conde;Porto;Continente;Portugal
Macieira da Maia;Vila do Conde;Porto;Continente;Portugal
Mindelo;Vila do Conde;Porto;Continente;Portugal
Modivas;Vila do Conde;Porto;Continente;Portugal
Vila Chã;Vila do Conde;Porto;Continente;Portugal
Vila do Conde;Vila do Conde;Porto;Continente;Portugal
Vilar de Pinheiro;Vila do Conde;Porto;Continente;Portugal
União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;Vila do Conde;Porto;Continente;Portugal
União das freguesias de Fornelo e Vairão;Vila do Conde;Porto;Continente;Portugal
União das freguesias de Malta e Canidelo;Vila do Conde;Porto;Continente;Portugal
União das freguesias de Retorta e Tougues;Vila do Conde;Porto;Continente;Portugal
União das freguesias de Rio Mau e Arcos;Vila do Conde;Porto;Continente;Portugal
União das freguesias de Touguinha e Touguinhó;Vila do Conde;Porto;Continente;Portugal
União das freguesias de Vilar e Mosteiró;Vila do Conde;Porto;Continente;Portugal
Arcozelo;Vila Nova de Gaia;Porto;Continente;Portugal
Avintes;Vila Nova de Gaia;Porto;Continente;Portugal
Canelas;Vila Nova de Gaia;Porto;Continente;Portugal
Canidelo;Vila Nova de Gaia;Porto;Continente;Portugal
Madalena;Vila Nova de Gaia;Porto;Continente;Portugal
Oliveira do Douro;Vila Nova de Gaia;Porto;Continente;Portugal
São Félix da Marinha;Vila Nova de Gaia;Porto;Continente;Portugal
Vilar de Andorinho;Vila Nova de Gaia;Porto;Continente;Portugal
União das freguesias de Grijó e Sermonde;Vila Nova de Gaia;Porto;Continente;Portugal
União das freguesias de Gulpilhares e Valadares;Vila Nova de Gaia;Porto;Continente;Portugal
União das freguesias de Mafamude e Vilar do Paraíso;Vila Nova de Gaia;Porto;Continente;Portugal
União das freguesias de Pedroso e Seixezelo;Vila Nova de Gaia;Porto;Continente;Portugal
União das freguesias de Sandim, Olival, Lever e Crestuma;Vila Nova de Gaia;Porto;Continente;Portugal
União das freguesias de Santa Marinha e São Pedro da Afurada;Vila Nova de Gaia;Porto;Continente;Portugal
